city,date,temperature_2m_max,wind_speed_10m_max,rain_sum,forecast_rain_sum,forecast_error_mm,bust_probability
Delhi,2000-01-01,19.9,10.9,0.0,1.490142459033698,1.490142459033698,9
Delhi,2000-01-02,20.0,9.5,0.0,0.0,0.0,0
Delhi,2000-01-03,20.1,10.0,0.0,1.9430656143020775,1.9430656143020775,12
Delhi,2000-01-04,19.8,8.6,0.0,4.569089569224076,4.569089569224076,30
Delhi,2000-01-05,19.4,9.4,0.0,0.0,0.0,0
Delhi,2000-01-06,19.2,15.3,0.0,0.0,0.0,0
Delhi,2000-01-07,19.1,10.0,0.0,4.737638446522174,4.737638446522174,31
Delhi,2000-01-08,20.3,9.0,0.0,2.3023041874587262,2.3023041874587262,15
Delhi,2000-01-09,22.0,13.3,0.0,0.0,0.0,0
Delhi,2000-01-10,19.1,11.7,0.0,1.627680130757894,1.627680130757894,10
Delhi,2000-01-11,23.0,11.9,0.0,0.0,0.0,0
Delhi,2000-01-12,22.8,24.5,15.4,14.00281073928923,1.3971892607107712,9
Delhi,2000-01-13,18.9,11.8,2.7,3.4258868146981025,0.7258868146981023,4
Delhi,2000-01-14,18.1,10.0,0.0,0.0,0.0,0
Delhi,2000-01-15,15.8,10.4,0.0,0.0,0.0,0
Delhi,2000-01-16,15.8,17.9,0.0,0.0,0.0,0
Delhi,2000-01-17,17.4,16.3,0.0,0.0,0.0,0
Delhi,2000-01-18,20.4,19.3,0.0,0.9427419977858216,0.9427419977858216,6
Delhi,2000-01-19,21.3,19.5,0.0,0.0,0.0,0
Delhi,2000-01-20,21.2,20.9,0.0,0.0,0.0,0
Delhi,2000-01-21,21.7,12.2,0.7,5.0969463067646625,4.396946306764662,29
Delhi,2000-01-22,20.0,11.5,0.2,0.0,0.2,1
Delhi,2000-01-23,21.2,9.9,0.0,0.2025846140637715,0.2025846140637715,1
Delhi,2000-01-24,22.1,8.8,0.0,0.0,0.0,0
Delhi,2000-01-25,20.1,14.1,11.4,9.766851826424453,1.633148173575547,10
Delhi,2000-01-26,20.3,15.5,7.5,7.832767769129598,0.3327677691295978,2
Delhi,2000-01-27,18.7,14.8,3.8,0.3470192677330912,3.4529807322669086,23
Delhi,2000-01-28,19.5,21.1,0.0,1.1270940550370159,1.1270940550370159,7
Delhi,2000-01-29,20.4,21.3,0.0,0.0,0.0,0
Delhi,2000-01-30,22.2,11.3,0.0,0.0,0.0,0
Delhi,2000-01-31,22.1,25.4,0.0,0.0,0.0,0
Delhi,2000-02-01,20.7,22.2,0.0,5.556834553526813,5.556834553526813,37
Delhi,2000-02-02,20.1,14.4,0.0,0.0,0.0,0
Delhi,2000-02-03,21.8,9.0,0.0,0.0,0.0,0
Delhi,2000-02-04,21.9,16.1,17.7,20.167634736309566,2.4676347363095665,16
Delhi,2000-02-05,15.7,16.6,5.1,1.437469050086933,3.6625309499130667,24
Delhi,2000-02-06,16.9,8.9,0.3,0.9265907850142663,0.6265907850142662,4
Delhi,2000-02-07,18.0,10.2,0.0,0.0,0.0,0
Delhi,2000-02-08,17.9,9.4,0.0,0.0,0.0,0
Delhi,2000-02-09,19.7,9.4,0.0,0.5905837076073706,0.5905837076073706,3
Delhi,2000-02-10,20.1,16.6,4.8,7.015399739986231,2.215399739986231,14
Delhi,2000-02-11,17.0,16.6,13.7,14.214104843569912,0.5141048435699123,3
Delhi,2000-02-12,16.9,8.9,0.0,0.0,0.0,0
Delhi,2000-02-13,17.1,14.8,0.0,0.0,0.0,0
Delhi,2000-02-14,19.0,14.0,0.0,0.0,0.0,0
Delhi,2000-02-15,20.5,13.2,0.0,0.0,0.0,0
Delhi,2000-02-16,20.6,9.8,0.0,0.0,0.0,0
Delhi,2000-02-17,21.3,10.8,0.0,16.828633321343254,16.828633321343254,100
Delhi,2000-02-18,20.0,9.0,0.0,1.0308548687053842,1.0308548687053842,6
Delhi,2000-02-19,20.2,10.3,0.0,0.0,0.0,0
Delhi,2000-02-20,20.1,17.6,0.0,0.972251908184385,0.972251908184385,6
Delhi,2000-02-21,21.3,15.5,0.0,0.0,0.0,0
Delhi,2000-02-22,21.2,12.4,0.0,0.0,0.0,0
Delhi,2000-02-23,21.6,14.3,0.0,1.8350288665226038,1.8350288665226038,12
Delhi,2000-02-24,21.0,20.5,0.0,3.092998567487853,3.092998567487853,20
Delhi,2000-02-25,21.5,16.7,0.0,2.7938403573485955,2.7938403573485955,18
Delhi,2000-02-26,22.3,12.3,0.0,0.0,0.0,0
Delhi,2000-02-27,24.2,11.1,0.0,0.0,0.0,0
Delhi,2000-02-28,26.1,14.8,0.0,0.9937902942106919,0.9937902942106919,6
Delhi,2000-02-29,27.7,14.1,0.0,2.9266353813670776,2.9266353813670776,19
Delhi,2000-03-01,26.0,8.4,0.0,0.0,0.0,0
Delhi,2000-03-02,27.2,10.9,0.2,0.0,0.2,1
Delhi,2000-03-03,27.9,15.0,0.0,20.0,20.0,100
Delhi,2000-03-04,29.2,19.4,0.0,0.0,0.0,0
Delhi,2000-03-05,25.0,10.7,0.0,2.437577467182594,2.437577467182594,16
Delhi,2000-03-06,25.3,12.3,0.0,4.068720085712469,4.068720085712469,27
Delhi,2000-03-07,26.0,12.6,0.0,0.0,0.0,0
Delhi,2000-03-08,26.0,21.9,0.0,3.0105986936760725,3.0105986936760725,20
Delhi,2000-03-09,26.2,28.5,0.0,1.0849080751429026,1.0849080751429026,7
Delhi,2000-03-10,29.4,12.7,0.0,0.0,0.0,0
Delhi,2000-03-11,29.9,11.9,0.0,1.0841868165252417,1.0841868165252417,7
Delhi,2000-03-12,28.8,27.5,0.0,4.614109699397908,4.614109699397908,30
Delhi,2000-03-13,25.8,12.2,2.6,2.4925218826701454,0.10747811732985468,0
Delhi,2000-03-14,26.5,13.2,0.0,4.693930967442019,4.693930967442019,31
Delhi,2000-03-15,28.3,24.5,0.0,0.0,0.0,0
Delhi,2000-03-16,30.5,13.5,0.0,2.4657075131256714,2.4657075131256714,16
Delhi,2000-03-17,31.6,11.5,0.0,0.2611412047145137,0.2611412047145137,1
Delhi,2000-03-18,28.9,12.5,0.0,0.0,0.0,0
Delhi,2000-03-19,28.4,15.3,0.0,0.2752823296065069,0.2752823296065069,1
Delhi,2000-03-20,28.7,19.6,0.0,0.0,0.0,0
Delhi,2000-03-21,28.9,23.7,0.1,0.0,0.1,0
Delhi,2000-03-22,28.8,15.1,0.0,1.0713377145352392,1.0713377145352392,7
Delhi,2000-03-23,25.8,17.6,0.3,4.733682134224548,4.433682134224548,29
Delhi,2000-03-24,26.4,15.8,0.0,0.0,0.0,0
Delhi,2000-03-25,28.5,13.6,0.0,0.0,0.0,0
Delhi,2000-03-26,30.5,9.3,0.0,0.0,0.0,0
